cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,poll_id,question_id,createddate
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/14/2016,10/17/2016,Selzer & Company,A+,1000,lv,2.538795,47,38,8,46.84417,39.99571,6.27284,47060,73636,10/19/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/27/2016,10/28/2016,BK Strategies,,1698,lv,2.502021,39,53,,38.51061,50.7572,,47860,74895,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/26/2016,10/28/2016,YouGov,B,997,lv,2.487104,42,39,7,41.75385,38.87231,8.359501,47780,74790,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/26/2016,YouGov,B,1209,lv,2.485111,46,41,4,45.63602,41.55637,4.964521,47608,74499,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/26/2016,10/28/2016,YouGov,B,994,lv,2.482707,42,44,4,41.76,43.84806,5.359501,47778,74788,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/26/2016,Gravis Marketing,B-,1824,rv,2.479879,46,45,2,45.78602,45.0337,2.193952,47631,74547,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/26/2016,10/28/2016,YouGov,B,992,lv,2.479769,48,45,3,47.77576,44.78595,4.359501,47779,74789,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/27/2016,10/31/2016,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,2.475616,44,44,5,44.50363,44.1804,5.160502,47934,74990,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/24/2016,10/30/2016,SurveyMonkey,C-,40816,lv,2.446905,47,41,6,45.66489,40.41809,3.333669,47869,74912,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/23/2016,10/25/2016,Remington,,2559,lv,2.436428,39,50,4,38.42823,49.47709,4.308866,47615,74518,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/20/2016,10/24/2016,Marist College,A,768,lv,2.409964,45,36,10,43.04313,38.24964,7.959227,47539,74346,10/26/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/30/2016,10/30/2016,Remington,,1249,lv,2.402631,45,43,3,44.7114,41.14791,4.065788,47850,74877,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/30/2016,10/30/2016,Remington,,1187,lv,2.352779,43,48,3,42.7114,46.14791,4.065788,47849,74876,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/30/2016,10/30/2016,Remington,,1176,lv,2.343616,45,47,2,44.7114,45.14791,3.065788,47848,74875,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/30/2016,10/30/2016,Remington,,1172,lv,2.34026,46,42,4,45.7114,40.14791,5.065788,47852,74879,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/24/2016,10/30/2016,CVOTER International,C+,1299,lv,2.335762,48.81,47.71,,46.38828,44.13978,,47882,74938,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/20/2016,10/23/2016,Siena College,A,792,lv,2.325438,46,39,8,45.74498,41.64333,6.137042,47325,74046,10/25/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Mexico,10/24/2016,10/24/2016,Zia Poll,,1899,lv,2.315098,45,40,9,43.73338,39.62985,9.695195,47612,74511,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/22/2016,10/24/2016,Saguaro Strategies,,2385,lv,2.30712,48,46,5,45.73579,46.35058,4.172206,47630,74546,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/30/2016,10/30/2016,Remington,,1106,lv,2.282895,47,43,3,46.7114,41.14791,4.065788,47868,74911,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Iowa,10/20/2016,10/26/2016,Quinnipiac University,A-,791,lv,2.282363,44,44,4,44.08772,44.58124,2.92435,47618,74522,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/28/2016,10/30/2016,Emerson College,B,800,lv,2.231109,49,45,3,48.63733,43.2056,2.953504,47877,74930,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Minnesota,10/22/2016,10/26/2016,SurveyUSA,A,656,lv,2.22825,49,39,5,47.3517,39.01773,5.062005,47712,74694,10/29/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/17/2016,10/18/2016,Quinnipiac University,A-,1007,lv,2.196568,47,40,7,47.20443,41.15833,5.325565,47078,73671,10/19/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/21/2016,10/22/2016,YouGov,B,1031,lv,2.18948,43,46,5,42.63636,46.87188,5.680246,47237,73920,10/23/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/24/2016,Suffolk University,B+,1000,lv,2.180449,47.4,37.6,3.9,46.95812,39.36292,4.31719,47530,74325,10/26/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/20/2016,10/25/2016,University of North Florida,B+,819,lv,2.179954,43,39,6,43.94143,42.24168,4.507492,47549,74383,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/30/2016,10/30/2016,Remington,,989,lv,2.171098,44,48,2,43.7114,46.14791,3.065788,47846,74873,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,10/28/2016,10/30/2016,Emerson College,B,750,lv,2.170599,46,42,5,45.63095,40.2258,4.953504,47879,74932,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/25/2016,10/31/2016,SurveyMonkey,C-,2665,lv,2.166949,44,46,7,42.73449,45.10929,4.46675,47893,74949,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/20/2016,10/24/2016,Marist College,A,707,lv,2.166455,43,43,10,41.09849,44.92952,7.959227,47540,74347,10/26/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/26/2016,10/30/2016,University of New Hampshire,B+,618,lv,2.164785,46,39,6,45.78382,40.53563,6.023805,47871,74918,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/27/2016,10/29/2016,Dixie Strategies,C+,980,lv,2.158698,39.39,51.53,2.96,39.79761,50.76878,3.286923,47993,75052,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/26/2016,10/30/2016,Franklin & Marshall College,B+,652,lv,2.157484,49,38,4,48.5308,39.71922,4.154008,47876,74927,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/25/2016,10/31/2016,SurveyMonkey,C-,2505,lv,2.142356,55,30,7,53.72084,29.1581,4.46675,47887,74943,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,Gravis Marketing,B-,1301,rv,2.140121,48,47,1,47.7879,47.02554,1.193952,47767,74755,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/30/2016,10/30/2016,Remington,,952,lv,2.132726,45,44,4,44.7114,42.14791,5.065788,47845,74872,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/21/2016,Public Policy Polling,B+,990,lv,2.132376,46,40,5,45.05301,41.09445,5.083591,47527,74321,10/26/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/31/2016,SurveyMonkey,C-,2809,lv,2.131108,46,45,5,44.72326,44.14946,2.46675,47892,74948,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/17/2016,10/20/2016,Time/Abt SRBI,A-,839,lv,2.13071,42,44,9,41.87008,46.25708,6.488977,47158,73792,10/21/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/21/2016,10/22/2016,YouGov,B,1042,lv,2.126459,46,43,3,45.63017,43.90773,3.680246,47236,73919,10/23/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/25/2016,10/27/2016,SurveyUSA,A,683,rv,2.126121,42,49,3,41.7627,50.48988,2.624004,47785,74803,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/21/2016,10/24/2016,NBC News/Wall Street Journal,A-,724,lv,2.125523,43,34,7,41.91822,36.25222,5.309163,47550,74505,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/26/2016,Gravis Marketing,B-,1273,rv,2.117863,49,47,1,48.80125,46.96766,1.193952,47766,74754,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/20/2016,10/26/2016,Quinnipiac University,A-,749,lv,2.116462,50,38,4,50.11597,38.43544,2.92435,47620,74524,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,Public Policy Polling,B+,742,lv,2.113402,48,44,,46.88216,43.8345,,47637,74560,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,10/26/2016,10/28/2016,Cygnal Political,,811,lv,2.106601,32,56,,31.80767,54.75208,,47792,74812,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/20/2016,10/26/2016,Quinnipiac University,A-,707,lv,2.093492,43,44,8,43.14038,44.30946,6.92435,47617,74521,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/23/2016,CNN/Opinion Research Corp.,A-,779,lv,2.083295,49,44,3,47.83393,43.25948,1.689483,47314,74018,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/26/2016,10/27/2016,Emerson College,B,800,lv,2.07418,45,45,6,44.50785,43.74232,5.675094,47757,74740,10/29/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Vermont,10/24/2016,10/26/2016,"Political Marketing International, Inc./Red Racing Horses",B-,1052,lv,2.070199,52,26,5,50.66944,26.71407,4.715528,47640,74563,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Idaho,10/21/2016,10/23/2016,Emerson College,B,1023,lv,2.065228,23,52,,20.01258,49.56269,,47339,74075,10/25/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/25/2016,10/31/2016,SurveyMonkey,C-,2051,lv,2.056315,41,47,8,39.72546,46.14158,5.46675,47926,74982,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/25/2016,10/31/2016,SurveyMonkey,C-,2255,lv,2.044662,49,41,6,47.72671,40.13711,3.46675,47921,74977,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/21/2016,10/22/2016,Public Policy Polling,B+,875,lv,2.042292,47,44,4,46.06748,44.81387,4.205119,47248,73936,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/20/2016,10/26/2016,Quinnipiac University,A-,702,lv,2.012809,47,43,5,47.12807,43.37304,3.92435,47619,74523,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/25/2016,10/31/2016,SurveyMonkey,C-,2089,lv,2.011782,48,38,8,46.72589,37.14005,5.46675,47929,74985,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,South Carolina,10/25/2016,10/31/2016,SurveyMonkey,C-,1762,lv,1.984197,43,45,6,41.73411,44.11066,3.46675,47923,74979,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New York,10/25/2016,10/31/2016,SurveyMonkey,C-,1734,lv,1.976254,56,33,5,54.72102,32.15746,2.46675,47915,74971,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/25/2016,10/31/2016,SurveyMonkey,C-,1823,lv,1.949638,40,45,9,38.72247,44.15226,6.46675,47918,74974,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/30/2016,10/30/2016,Remington,,787,lv,1.940524,44,48,4,43.7114,46.14791,5.065788,47847,74874,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,10/20/2016,10/25/2016,University of New Hampshire,B+,670,lv,1.902577,48,37,5,47.56355,39.87309,4.353873,47772,74763,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Michigan,10/25/2016,10/31/2016,SurveyMonkey,C-,1649,lv,1.900978,43,42,8,41.72126,41.15661,5.46675,47905,74961,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/21/2016,10/24/2016,Greenberg Quinlan Rosner (Democracy Corps),B-,900,lv,1.899239,50,38,5,48.55824,39.86935,3.080554,47355,74118,10/25/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/23/2016,10/26/2016,Christopher Newport University,B-,814,lv,1.892539,46,39,5,46.95389,42.00444,2.96151,47634,74552,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/31/2016,SurveyMonkey,C-,1574,lv,1.877583,47,44,7,45.73015,43.12482,4.46675,47916,74972,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/24/2016,10/26/2016,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,1.865284,42,47,3,40.41095,47.89443,2.779283,47629,74545,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/25/2016,10/31/2016,SurveyMonkey,C-,1532,lv,1.863757,43,39,11,41.7159,38.17576,8.466749,47888,74944,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/14/2016,10/16/2016,Monmouth University,A+,726,lv,1.85766,50,38,5,48.77353,39.80119,3.919255,46886,73362,10/17/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/28/2016,10/31/2016,Monmouth University,A+,405,lv,1.845925,38,52,4,36.86025,51.30836,4.681268,47996,75057,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/25/2016,10/31/2016,SurveyMonkey,C-,1457,lv,1.837654,43,44,8,41.7199,43.16145,5.46675,47885,74941,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/26/2016,10/27/2016,Emerson College,B,650,lv,1.818245,48,45,4,47.51965,43.6958,3.675094,47759,74742,10/29/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kansas,10/25/2016,10/31/2016,SurveyMonkey,C-,1273,lv,1.811044,36,47,12,34.71851,46.16644,9.466749,47899,74955,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/16/2016,10/18/2016,Victory Research,,1200,lv,1.802188,51.2,36.1,5.6,50.25616,36.88839,4.397091,47315,74028,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/26/2016,Saint Leo University,C+,1050,lv,1.795501,46.05,34.95,7.6,44.18933,38.77402,6.157888,47638,74561,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/11/2016,10/14/2016,SurveyUSA,A,845,lv,1.790357,46,36,5,44.67489,37.15985,3.914717,47062,73638,10/19/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Indiana,10/27/2016,10/30/2016,Monmouth University,A+,402,lv,1.78913,39,50,4,37.82618,49.41636,4.597736,47857,74885,10/31/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/22/2016,10/26/2016,Saint Leo University,C+,1028,lv,1.77842,50.4,36.95,4.95,48.54199,40.76155,3.507888,47639,74562,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/18/2016,10/19/2016,Public Policy Polling,B+,804,lv,1.729988,50,38,,47.68439,38.00763,,47087,73699,10/19/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/25/2016,10/31/2016,SurveyMonkey,C-,1195,lv,1.72919,44,42,7,42.7181,41.1679,4.46675,47932,74988,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Michigan,10/22/2016,10/24/2016,EPIC-MRA,A-,600,lv,1.728788,41,34,9,41.56248,36.47088,7.341999,47548,74381,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/19/2016,10/19/2016,Associated Industries of Florida,,1000,lv,1.724671,44,41,4,43.73679,44.8174,2.464277,47462,74247,10/25/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/25/2016,10/31/2016,SurveyMonkey,C-,1078,lv,1.713576,30,33,7,28.71826,32.16731,4.46675,47927,74983,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/13/2016,10/15/2016,SurveyUSA,A,725,lv,1.712487,56,30,4,54.62292,31.15174,2.987635,46947,73434,10/17/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/20/2016,10/23/2016,Bendixen & Amandi International,,800,lv,1.694016,48,41,6,46.53946,42.88154,5.218653,47318,74036,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/25/2016,10/25/2016,Gravis Marketing,B-,875,rv,1.674052,46,46,3,45.73999,46.2872,3.065412,47655,74630,10/28/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Minnesota,10/20/2016,10/22/2016,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,1.672715,47,39,6,45.34961,40.75738,5.24644,47319,74037,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/9/2016,10/13/2016,"RKM Research and Communications, Inc.",B+,1101,lv,1.670946,46,41,6,46.0958,42.26845,4.313881,46871,73328,10/16/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/12/2016,10/18/2016,Princeton Survey Research Associates International,B+,1029,rv,1.665671,49,38,,48.16418,41.12745,,47611,74510,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Mexico,10/25/2016,10/31/2016,SurveyMonkey,C-,987,lv,1.65981,44,34,17,42.71827,33.16729,14.46675,47914,74970,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Iowa,10/25/2016,10/31/2016,SurveyMonkey,C-,984,lv,1.657931,40,45,10,38.71593,44.17565,7.46675,47898,74954,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/27/2016,10/30/2016,Emerson College,B,500,lv,1.653665,53,41,2,52.63655,39.20806,1.953504,47878,74931,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,South Dakota,10/19/2016,10/21/2016,Remington,,1115,lv,1.65329,37,48,6,36.42294,48.26057,5.781412,47346,74087,10/25/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/17/2016,10/21/2016,YouGov,B,772,lv,1.651239,43,38,8,42.63734,39.70905,8.322947,47326,74384,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/22/2016,10/24/2016,Crosswind Media & Public Relations,C+,800,lv,1.650769,38,45,7,37.42928,46.33903,5.412182,47529,74324,10/26/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Montana,10/10/2016,10/12/2016,"Mason-Dixon Polling & Research, Inc.",B+,1003,lv,1.649379,36,46,11,34.81863,48.56234,9.360102,46870,73327,10/16/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/25/2016,10/31/2016,SurveyMonkey,C-,1003,lv,1.648527,52,35,8,50.72356,34.14838,5.46675,47896,74952,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Washington,10/20/2016,10/22/2016,Elway Research,A+,502,lv,1.645033,48,31,1,47.73112,34.26857,1.462773,47316,74029,10/24/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/26/2016,10/27/2016,Loras College,B-,600,lv,1.640081,45,34,6,45.58908,35.72532,5.544566,48000,75067,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,Dixie Strategies,C+,698,lv,1.634067,42.4,45.7,,42.44762,45.19785,,47621,74529,10/27/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/20/2016,10/27/2016,Dan Jones & Associates,C+,823,lv,1.63159,24,32,4,22.92762,32.55424,3.448703,47781,74795,10/30/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/25/2016,10/31/2016,SurveyMonkey,C-,1010,lv,1.631124,43,42,12,41.72206,41.15372,9.466749,47911,74967,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/26/2016,10/27/2016,Emerson College,B,550,lv,1.623938,44,42,3,43.50722,40.74479,2.675094,47760,74743,10/29/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/7/2016,10/11/2016,Selzer & Company,A+,806,lv,1.619184,48,39,6,48.28355,41.05856,3.782832,46776,73148,10/13/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/23/2016,10/27/2016,Elon University,B+,535,lv,1.615122,42,41.2,2.6,41.81535,43.26671,1.942694,47937,74993,11/1/16
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,10/25/2016,10/30/2016,Western Kentucky University,C+,602,lv,1.60969,37,54,1,35.92733,53.66605,1.450507,47938,74995,11/1/16
